,Subject ID,GRE APT Verb Percentile,GRE APT Quant Percentile,GRE APT Analyt Percentile,tiers,admit_code,GPA_Merged,Master's Held,Doctorate Held,Bachelor's Held,Special Degree Held,Count: Arts,Count: GAE,Count: Research,Count: Service,Count: Leadership,Count: Leadership,Count: Competition,Gender,First Generation,work_experience_int
208,1474,89,60,49,1.0,R,4.0,0,0,1,0,1,1,0,0,0,0,0,Female,0.0,1705.0
209,1475,87,22,93,1.0,A,4.0,0,0,1,0,0,0,0,0,0,0,0,Female,1.0,0.0
210,1476,83,35,49,1.0,A,3.08,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,1645.0
211,1477,36,23,30,4.0,R,3.37,0,0,1,0,0,0,0,0,0,0,0,Male,0.0,0.0
212,1479,99,72,93,1.0,A,3.29,0,0,1,0,0,1,0,0,0,0,0,Female,0.0,2496.0
213,1481,18,87,14,4.0,A,3.0,0,0,1,0,1,0,0,0,1,1,0,Female,0.0,212.0
214,1482,24,57,14,4.0,R,4.0,0,0,1,0,0,0,0,0,0,0,1,Female,0.0,0.0
215,1484,99,39,81,1.0,A,3.71,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
216,1487,75,59,84,4.0,A,3.6,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
217,1488,89,53,29,4.0,A,3.92,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
218,1489,95,39,49,2.0,A,3.61,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,0.0
219,1491,81,53,93,2.0,A,3.8,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,730.0
220,1492,84,18,93,4.0,A,3.82,0,0,1,0,0,2,0,0,0,0,0,Female,1.0,151.0
221,1493,44,95,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
222,1495,91,84,78,1.0,R,3.39,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
223,1496,81,45,35,4.0,A,3.33,0,0,1,0,1,0,0,0,0,0,0,Male,0.0,1402.0
224,1497,98,81,93,2.0,A,3.96,0,0,1,0,0,1,2,0,0,0,0,Female,1.0,213.0
225,1499,98,11,97,4.0,A,3.81,0,0,1,0,1,1,0,0,0,0,0,Female,0.0,790.0
226,1500,40,78,14,4.0,A,4.0,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
227,1501,49,78,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
228,1503,98,25,54,1.0,R,3.99,0,0,0,0,2,0,0,0,0,0,0,Female,0.0,0.0
229,1504,40,25,78,2.0,R,3.88,0,0,0,0,0,0,0,0,1,1,0,Female,0.0,0.0
230,1505,93,37,99,1.0,R,3.9,0,0,0,0,0,2,0,0,0,0,0,Female,0.0,0.0
231,1507,99,93,14,3.0,R,4.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
232,1509,62,89,14,4.0,D,3.0,0,0,0,0,0,1,0,0,0,0,0,Male,0.0,0.0
233,1510,36,95,6,3.0,A,3.0,0,0,1,0,0,0,0,0,0,0,0,Female,0.0,426.0
234,1511,70,11,78,2.0,A,3.89,0,0,1,0,0,3,0,0,0,0,0,Female,0.0,61.0
235,1512,44,98,14,4.0,D,3.0,0,0,0,0,0,0,0,1,0,0,0,Female,0.0,0.0
236,1514,53,18,14,4.0,D,2.26,0,0,0,0,0,0,0,0,0,0,0,Female,0.0,0.0
